date,price1,price2,price3,price4
20220315,7.0,7.01,6.56,6.54
20220316,6.7,6.78,6.75,6.45
20220317,6.8,7.08,7.04,6.72
20220318,7.04,7.28,7.19,6.93
20220321,7.13,7.26,7.15,7.08
20220322,7.14,7.16,7.08,7.03
20220323,7.11,7.2,7.16,7.04
20220324,7.14,7.15,6.93,6.92
20220325,7.0,7.08,7.0,6.95
20220328,6.9,7.2,6.96,6.89
20220329,6.93,7.02,6.82,6.78
20220330,6.88,6.96,6.85,6.81
20220331,7.03,7.06,6.85,6.8
20220401,6.75,6.92,6.7,6.68
20220406,6.68,6.9,6.9,6.64
20220407,6.84,6.92,6.68,6.63
20220408,6.69,6.71,6.61,6.45
20220411,6.55,6.55,6.16,6.11
20220412,6.2,6.29,6.25,6.1
20220413,6.2,6.32,6.09,6.03
20220414,6.09,6.23,6.08,6.08
20220415,6.09,6.11,5.86,5.83
20220418,5.88,6.0,5.99,5.72
20220419,5.99,6.11,5.99,5.93
20220420,5.99,6.13,5.91,5.88
20220421,5.89,5.92,5.59,5.55
20220422,5.55,5.61,5.47,5.44
20220425,5.4,5.44,4.85,4.83
20220426,4.85,5.0,4.69,4.67
20220427,4.66,4.8,4.8,4.49
20220428,4.6,4.84,4.66,4.58
20220429,4.66,4.96,4.92,4.6
20220505,4.93,5.06,4.98,4.84
20220506,4.91,4.95,4.86,4.82
20220509,4.84,5.06,5.0,4.79
20220510,4.9,5.07,5.04,4.9
20220511,5.1,5.18,5.01,5.0
20220512,5.04,5.13,5.07,4.96
20220513,5.02,5.13,5.11,5.02
20220516,5.12,5.16,5.1,5.04
20220517,5.14,5.14,5.04,4.96
20220518,5.04,5.19,5.16,5.02
20220519,5.11,5.3,5.27,5.07
20220520,5.3,5.34,5.24,5.21
20220523,5.35,5.44,5.29,5.17
20220524,5.29,5.42,5.0,4.99
20220525,5.0,5.17,5.14,4.98
20220526,5.12,5.2,5.15,4.99
20220527,5.2,5.2,5.12,5.05
20220530,5.18,5.21,5.17,5.09
20220531,5.2,5.26,5.24,5.11
20220601,5.2,5.34,5.33,5.18
20220602,5.27,5.41,5.38,5.23
20220606,5.38,5.51,5.49,5.38
20220607,5.49,5.53,5.36,5.33
20220608,5.36,5.42,5.34,5.23
20220609,5.37,5.38,5.17,5.14
20220610,5.09,5.31,5.27,5.09
20220613,5.24,5.35,5.28,5.19
20220614,5.29,5.29,5.27,5.08
20220615,5.26,5.43,5.31,5.16
20220616,5.3,5.44,5.41,5.27
20220617,5.4,5.44,5.38,5.27
20220620,5.41,5.52,5.46,5.36
20220621,5.45,6.28,5.84,5.45
20220622,5.72,6.03,5.55,5.55
20220623,5.5,5.68,5.65,5.5
20220624,5.69,5.93,5.85,5.67
20220627,5.89,5.94,5.91,5.76
20220628,5.88,7.09,7.09,5.88
20220629,7.45,8.25,7.24,7.1
20220630,6.95,7.77,7.41,6.94
20220701,7.16,8.2,7.5,7.16
20220704,7.36,7.48,7.08,6.96
20220705,6.86,7.0,6.65,6.5
20220706,6.57,6.94,6.73,6.47
20220707,6.62,6.84,6.52,6.5
20220708,6.48,6.95,6.69,6.48
20220711,6.92,7.18,7.0,6.62
20220712,6.8,6.82,6.5,6.45
20220713,6.42,6.65,6.65,6.37
20220714,6.61,6.78,6.56,6.54
20220715,6.54,6.64,6.3,6.3
20220718,6.34,6.68,6.62,6.33
20220719,6.68,6.76,6.7,6.47
20220720,6.65,6.72,6.56,6.54
20220721,6.55,6.76,6.62,6.55
20220722,6.64,7.1,6.85,6.6
20220725,6.88,6.88,6.64,6.57
20220726,6.61,6.7,6.7,6.39
20220727,6.66,6.9,6.82,6.61
20220728,6.9,7.3,7.19,6.86
20220729,7.15,7.26,6.99,6.95
20220801,7.04,7.26,7.15,6.89
20220802,7.06,7.09,6.8,6.66
20220803,6.83,7.0,6.59,6.55
20220804,6.62,6.72,6.68,6.52
20220805,6.77,6.78,6.57,6.47
20220808,6.61,6.77,6.71,6.48
20220809,6.71,7.14,7.0,6.64
20220810,7.0,7.14,7.09,6.81
20220811,7.1,7.28,7.09,7.06
20220812,8.51,8.51,8.51,8.3
20220815,8.55,8.55,8.12,7.8
20220816,8.0,8.03,7.77,7.69
20220817,7.64,7.75,7.55,7.49
20220818,7.63,7.68,7.52,7.46
20220819,7.58,7.6,7.22,7.2
20220822,7.17,7.28,7.09,7.02
20220823,7.08,7.22,7.22,7.03
20220824,7.19,7.19,6.8,6.76
20220825,6.79,6.89,6.62,6.55
20220826,6.6,6.78,6.53,6.5
20220829,6.47,6.74,6.69,6.41
20220830,6.75,6.78,6.61,6.5
20220831,6.6,6.61,6.23,6.23
20220901,6.24,6.37,6.24,6.19
20220902,6.24,6.42,6.41,6.24
20220905,6.45,6.48,6.41,6.37
20220906,6.39,6.45,6.4,6.25
20220907,6.4,6.52,6.48,6.32
20220908,6.55,6.55,6.35,6.33
20220909,6.4,6.41,6.25,6.23
20220913,6.3,6.37,6.27,6.25
20220914,6.18,6.25,6.19,6.08
20220915,6.25,6.27,6.01,5.92
20220916,6.0,6.09,5.83,5.83
20220919,5.8,5.85,5.73,5.7
20220920,5.75,5.92,5.89,5.75
20220921,5.9,6.02,6.0,5.77
20220922,5.95,6.1,5.99,5.89
20220923,6.03,6.1,5.83,5.81
20220926,5.83,5.88,5.67,5.65
20220927,5.66,5.84,5.79,5.63
20220928,5.78,5.82,5.66,5.65
20220929,5.7,5.77,5.63,5.58
20220930,5.63,5.73,5.55,5.53
20221010,5.56,5.62,5.44,5.4
20221011,5.5,5.56,5.51,5.34
20221012,5.51,5.75,5.75,5.48
20221013,5.69,5.91,5.87,5.61
20221014,5.88,6.43,6.18,5.88
20221017,6.13,6.44,6.43,6.13
20221018,6.44,6.73,6.42,6.35
20221019,6.4,6.5,6.34,6.31
20221020,6.29,6.41,6.3,6.19
20221021,6.32,6.44,6.25,6.22
20221024,6.22,6.35,6.16,6.14
20221025,6.1,6.21,6.09,6.01
20221026,6.09,6.3,6.26,6.09
20221027,6.22,6.31,6.05,6.01
20221028,6.04,6.05,5.72,5.65
20221031,5.61,5.87,5.81,5.6
20221101,5.8,5.94,5.93,5.77
20221102,5.94,6.13,6.05,5.91
20221103,6.1,6.1,5.98,5.91
20221104,5.97,6.05,6.02,5.93
20221107,6.03,6.26,6.07,6.02
20221108,6.19,6.32,6.12,6.01
20221109,6.05,6.2,6.17,6.05
20221110,6.11,6.15,6.03,6.01
20221111,6.19,6.2,6.04,6.03
20221114,6.04,6.09,6.0,5.96
20221115,5.97,6.12,6.11,5.95
20221116,6.19,6.19,6.13,6.08
20221117,6.14,6.14,6.12,6.04
20221118,6.12,6.15,6.04,6.02
20221121,6.01,6.08,6.07,5.91
20221122,6.09,6.12,5.95,5.92
20221123,5.95,5.98,5.82,5.73
20221124,5.85,5.94,5.84,5.83
20221125,5.9,5.92,5.73,5.72
20221128,5.68,5.79,5.69,5.62
20221129,5.65,5.79,5.78,5.65
20221130,5.79,5.83,5.77,5.72
20221201,5.81,5.88,5.83,5.78
20221202,5.81,5.94,5.93,5.8
20221205,5.95,5.99,5.94,5.91
20221206,5.97,5.98,5.87,5.87
20221207,5.9,5.9,5.85,5.79
20221208,5.85,5.88,5.85,5.8
20221209,5.84,5.88,5.77,5.77
20221212,5.77,5.8,5.75,5.69
20221213,5.76,5.77,5.72,5.69
20221214,5.7,5.88,5.69,5.68
20221215,5.71,5.85,5.84,5.66
20221216,5.8,5.84,5.66,5.64
20221219,5.63,5.68,5.45,5.42
20221220,5.48,5.57,5.5,5.37
20221221,5.5,5.5,5.39,5.36
20221222,5.4,5.44,5.29,5.26
20221223,5.28,5.42,5.34,5.24
20221226,5.34,5.42,5.39,5.32
20221227,5.41,5.5,5.4,5.36
20221228,5.35,5.42,5.25,5.24
20221229,5.26,5.3,5.23,5.22
20221230,5.23,5.3,5.27,5.21
20230103,5.28,5.48,5.47,5.26
