date,price1,price2,price3,price4
20220315,12.74,12.74,11.5,11.49
20220316,11.51,11.84,11.06,10.41
20220317,11.11,11.95,11.56,10.88
20220318,11.59,12.18,11.98,11.18
20220321,11.78,12.49,12.3,11.59
20220322,12.3,12.64,12.04,11.84
20220323,11.95,12.88,12.86,11.67
20220324,12.53,13.95,13.3,12.08
20220325,12.7,13.21,12.29,12.2
20220328,12.35,12.5,11.95,11.8
20220329,11.87,13.01,12.76,11.55
20220330,12.4,12.59,12.28,12.06
20220331,12.12,12.15,11.51,11.5
20220401,11.18,11.18,10.58,10.4
20220406,10.56,11.08,10.76,10.51
20220407,10.6,10.76,10.34,10.27
20220408,10.42,10.55,10.29,10.0
20220411,10.24,10.45,10.01,9.9
20220412,10.14,10.55,10.51,9.91
20220413,10.34,10.4,10.04,10.0
20220414,10.09,10.34,10.13,9.97
20220415,10.13,10.3,9.73,9.55
20220418,9.63,9.9,9.81,9.48
20220419,9.77,9.95,9.86,9.66
20220420,9.86,10.11,9.63,9.52
20220421,9.59,9.59,9.01,8.96
20220422,8.97,9.06,8.84,8.74
20220425,8.71,8.84,8.15,8.06
20220426,8.28,8.3,8.09,7.96
20220427,8.02,8.03,8.02,7.45
20220428,8.05,8.23,7.85,7.65
20220429,7.81,8.3,8.29,7.81
20220505,8.27,8.82,8.78,8.17
20220506,8.6,8.91,8.75,8.42
20220509,8.74,9.08,9.0,8.66
20220510,8.78,9.01,8.9,8.71
20220511,8.89,9.79,9.79,8.89
20220512,9.68,10.28,9.44,9.2
20220513,9.39,9.7,9.26,9.11
20220516,9.42,9.53,9.44,9.14
20220517,9.32,9.34,9.13,8.97
20220518,9.18,9.3,9.1,9.09
20220519,8.9,9.15,9.13,8.79
20220520,9.14,9.21,9.12,8.99
20220523,9.14,9.41,9.33,9.14
20220524,9.31,9.33,8.8,8.8
20220525,8.8,9.2,9.15,8.73
20220526,9.24,9.3,9.01,8.89
20220527,9.01,9.1,8.96,8.89
20220530,9.08,9.54,9.38,8.86
20220531,9.32,9.32,9.1,8.92
20220601,9.08,9.15,9.02,8.9
20220602,9.04,9.07,8.86,8.71
20220606,8.83,9.05,8.99,8.77
20220607,8.99,9.34,9.31,8.95
20220608,9.36,9.36,9.0,8.86
20220609,8.93,8.98,8.69,8.65
20220610,8.57,8.99,8.87,8.57
20220613,8.87,9.0,8.9,8.81
20220614,8.82,8.88,8.78,8.47
20220615,8.77,8.86,8.69,8.65
20220616,8.7,8.95,8.79,8.67
20220617,8.77,8.86,8.84,8.56
20220620,8.85,8.97,8.97,8.73
20220621,8.98,9.09,9.01,8.87
20220622,9.04,9.46,9.12,8.8
20220623,9.11,9.12,8.99,8.82
20220624,8.91,9.02,8.95,8.87
20220627,9.0,9.85,9.85,9.0
20220628,10.0,10.84,10.84,9.91
20220629,11.0,11.0,9.96,9.91
20220630,10.15,10.61,10.18,10.02
20220701,10.04,10.47,9.77,9.7
20220704,9.76,9.88,9.53,9.51
20220705,9.53,9.68,9.61,9.39
20220706,9.5,9.53,9.39,9.26
20220707,9.35,9.45,9.45,9.22
20220708,9.45,9.7,9.7,9.37
20220711,9.73,10.67,10.67,9.61
20220712,11.05,11.39,10.23,10.1
20220713,10.16,10.23,9.98,9.8
20220714,10.08,10.98,10.98,10.0
20220715,11.09,11.3,10.5,10.5
20220718,10.65,10.9,10.74,10.5
20220719,10.69,10.95,10.8,10.5
20220720,10.89,11.58,11.18,10.67
20220721,11.01,11.04,10.77,10.67
20220722,10.8,10.93,10.5,10.38
20220725,10.38,11.41,11.04,10.34
20220726,10.9,10.92,10.73,10.54
20220727,10.72,10.81,10.71,10.51
20220728,10.71,10.8,10.51,10.44
20220729,10.46,10.57,10.2,10.13
20220801,10.1,10.38,10.37,9.7
20220802,10.28,10.3,9.43,9.4
20220803,9.38,9.76,9.18,9.14
20220804,9.25,9.47,9.47,9.15
20220805,9.45,9.59,9.58,9.37
20220808,9.68,9.88,9.69,9.58
20220809,9.65,9.7,9.63,9.43
20220810,9.6,9.63,9.47,9.43
20220811,9.51,9.63,9.6,9.5
20220812,9.6,9.7,9.67,9.51
20220815,9.65,9.8,9.76,9.51
